view,node,type,degree_in_lcc,salt_neighbor
validated_probable_trade_only,long dagger,COMMODITY,1,False
validated_probable_trade_only,nepali traders,GROUP,1,False
validated_probable_trade_only,people of lower humla,GROUP,1,False
validated_probable_trade_only,salt lakes,LOCATION,1,True
validated_probable_trade_only,semi-luxuries like tea and rice,COMMODITY,1,True
validated_probable_trade_only,"tea, sugar, spices, rice, and other food products at dozum fair",CONCEPT,1,False
validated_probable_trade_only,thakali families,CONCEPT,1,True
validated_probable_trade_only,the desert,CONCEPT,1,True
validated_probable_trade_only,the water,CONCEPT,1,True
validated_probable_trade_only,thousands and thousands of sheep,COMMODITY,1,False
validated_probable_trade_only,tibetan changpas,GROUP,1,True
validated_probable_trade_only,tibetan partners,GROUP,1,True
